vote_2020,age,Age_group,state,race,vote_trump,vote_Biden
Donald Trump,40,21 to 40,VA,White,1,0
Joe Biden,45,41 to 60,MI,"Black, or African American",0,1
Joe Biden,19,20 or less,PA,Other asian or pacific islander,0,1
Joe Biden,65,61 to 80,CA,White,0,1
Donald Trump,61,61 to 80,AZ,White,1,0
Donald Trump,40,21 to 40,KY,White,1,0
Joe Biden,48,41 to 60,MN,White,0,1
Joe Biden,37,21 to 40,NV,White,0,1
Joe Biden,20,20 or less,IL,White,0,1
Joe Biden,42,41 to 60,NY,White,0,1
Joe Biden,19,20 or less,GA,Other race,0,1
Joe Biden,45,41 to 60,VA,White,0,1
Donald Trump,67,61 to 80,IN,White,1,0
Joe Biden,29,21 to 40,MD,"Black, or African American",0,1
Joe Biden,68,61 to 80,CA,White,0,1
Joe Biden,62,61 to 80,FL,Other asian or pacific islander,0,1
Joe Biden,31,21 to 40,NJ,Chinese,0,1
Joe Biden,43,41 to 60,FL,White,0,1
Donald Trump,42,41 to 60,TX,Other asian or pacific islander,1,0
Joe Biden,23,21 to 40,CA,White,0,1
Donald Trump,41,41 to 60,WI,White,1,0
Joe Biden,19,20 or less,FL,"Black, or African American",0,1
Joe Biden,62,61 to 80,MI,White,0,1
Joe Biden,30,21 to 40,CA,White,0,1
Joe Biden,19,20 or less,IA,White,0,1
Donald Trump,42,41 to 60,OH,White,1,0
Joe Biden,61,61 to 80,MI,White,0,1
Joe Biden,22,21 to 40,MA,White,0,1
Donald Trump,39,21 to 40,NJ,White,1,0
Joe Biden,66,61 to 80,CA,White,0,1
Donald Trump,38,21 to 40,TN,White,1,0
Joe Biden,35,21 to 40,NY,White,0,1
Joe Biden,25,21 to 40,MO,White,0,1
Donald Trump,35,21 to 40,OH,White,1,0
Joe Biden,25,21 to 40,TX,Other race,0,1
Joe Biden,70,61 to 80,MD,"Black, or African American",0,1
Joe Biden,82,above 80,AZ,White,0,1
Donald Trump,50,41 to 60,ME,White,1,0
Joe Biden,20,20 or less,CA,White,0,1
Donald Trump,35,21 to 40,NJ,White,1,0
Joe Biden,24,21 to 40,OH,White,0,1
Donald Trump,56,41 to 60,WI,White,1,0
Donald Trump,51,41 to 60,SC,White,1,0
Donald Trump,31,21 to 40,ID,White,1,0
Donald Trump,34,21 to 40,LA,White,1,0
Donald Trump,30,21 to 40,FL,White,1,0
Joe Biden,31,21 to 40,MO,"Black, or African American",0,1
Joe Biden,18,20 or less,CO,White,0,1
Donald Trump,66,61 to 80,PA,White,1,0
Donald Trump,43,41 to 60,NH,White,1,0
Donald Trump,37,21 to 40,VA,White,1,0
Donald Trump,44,41 to 60,NC,Other race,1,0
Joe Biden,54,41 to 60,VA,"Black, or African American",0,1
Donald Trump,69,61 to 80,FL,White,1,0
Joe Biden,66,61 to 80,NE,White,0,1
Donald Trump,62,61 to 80,CA,White,1,0
Joe Biden,42,41 to 60,CA,White,0,1
Donald Trump,66,61 to 80,OR,White,1,0
Joe Biden,77,61 to 80,NJ,White,0,1
Joe Biden,44,41 to 60,PA,White,0,1
Joe Biden,75,61 to 80,WA,White,0,1
Donald Trump,53,41 to 60,UT,White,1,0
Joe Biden,35,21 to 40,FL,White,0,1
Joe Biden,32,21 to 40,CA,Other asian or pacific islander,0,1
Donald Trump,45,41 to 60,CA,White,1,0
Donald Trump,53,41 to 60,AZ,White,1,0
Donald Trump,40,21 to 40,NY,White,1,0
Donald Trump,38,21 to 40,TX,White,1,0
Joe Biden,28,21 to 40,TX,White,0,1
Donald Trump,67,61 to 80,FL,White,1,0
Joe Biden,44,41 to 60,CA,White,0,1
Joe Biden,57,41 to 60,CO,"Black, or African American",0,1
Joe Biden,24,21 to 40,FL,"Black, or African American",0,1
Donald Trump,65,61 to 80,MD,White,1,0
Donald Trump,51,41 to 60,KY,White,1,0
Donald Trump,20,20 or less,NY,White,1,0
Donald Trump,32,21 to 40,CA,White,1,0
Joe Biden,42,41 to 60,NC,White,0,1
Donald Trump,55,41 to 60,OH,White,1,0
Donald Trump,20,20 or less,TX,Other race,1,0
Joe Biden,52,41 to 60,CA,White,0,1
Donald Trump,40,21 to 40,NC,White,1,0
Joe Biden,54,41 to 60,IA,White,0,1
Joe Biden,55,41 to 60,CA,White,0,1
Donald Trump,78,61 to 80,GA,White,1,0
Donald Trump,54,41 to 60,AZ,"Black, or African American",1,0
Joe Biden,37,21 to 40,SC,"Black, or African American",0,1
Joe Biden,76,61 to 80,OH,White,0,1
